College_Name,Course,City,State,University,Average_Fees,Rating,NIRF_Rank,Institute_Type,NBA_Accreditation,NAAC_Accreditation,Website
Aditya College of Engineering,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150500.0,2.72,,Private,No,No,www.acem.ac.in
Srinivasa Ramanujan Institute of Technology,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Chedulla,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",170625.0,3.02,,Private,No,No,www.srit.ac.in
Srinivasa Institute of Engineering and Technology,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Amalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",102769.23076923077,0,,Private,No,No,www.sriniet.edu.i n
Chalapathi Institute of Engineering and Technology,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Guntur,Andhra Pradesh,"Acharya Nagarjuna University, Guntur",190000.0,0,,Private,No,No,"www.chalapathie
 ngg.a"
Lendi Institute of Engineering and Technology,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Jonnada,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",192888.88888888888,3.02,,Private,No,No,www.lendi.org
Ramachandra College of Engineering,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Kokkirapadu,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151499.99999999997,0,,Private,No,No,www.rcee.ac.in
Vignan's Lara Institute of Technology and Science,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Vadlamudi,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",241090.9090909091,0,,Private,No,No,www.vignanlara. org
Sri Venkateswara College of Engineering and Technology,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g
Sagi Ramakrishnam Raju Engineering College,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Bhimavaram,Andhra Pradesh,"Andhra University, Visakhapatnam",253666.66666666663,3.6,,Private - Autonomous,No,No,www.srkrec.ac.in
PACE Institute of Technology and Sciences,INFORMATION TECHNOLOGY,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0,,Private,No,No,www.pace.ac.in
Pragati Engineering College,INFORMATION TECHNOLOGY,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",217714.2857142857,3.08,,Private - Autonomous,No,No,www.pragati.ac.i n
Vishnu Institute of Technology,INFORMATION TECHNOLOGY,Bhimavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",248754.54545454544,3.51,,Private,No,No,www.vishnu.edu.i n
Sri Venkateswara College of Engineering and Technology,INFORMATION TECHNOLOGY,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g
Vignan's Lara Institute of Technology and Science,INFORMATION TECHNOLOGY,Vadlamudi,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",241090.9090909091,0,,Private,No,No,www.vignanlara. org
Gayatri Vidya Parishad College of Engineering for Women,INFORMATION TECHNOLOGY,Visakhapatnam,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",360199.99999999994,0,,Private,No,No,www.gvpcew.ac.i n
NRI Institute of Technology,INFORMATION TECHNOLOGY,Gopalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",168666.6666666667,0,,Private,No,No,www.nrigroupofc olleg
Aditya Engineering College,INFORMATION TECHNOLOGY,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0,,Private - Autonomous,No,No,www.aec.edu.in
PES College of Engineering,INFORMATION TECHNOLOGY,Mandya,Karnataka,"Visvesvaraya Technological University, Belagavi",127875.0,2.99,,Private,No,No,"www.sircrrengg.a
 c.in"
Sagi Ramakrishnam Raju Engineering College,INFORMATION TECHNOLOGY,Bhimavaram,Andhra Pradesh,"Andhra University, Visakhapatnam",253666.66666666663,3.6,,Private - Autonomous,No,No,www.srkrec.ac.in
